StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,11,22.95,S,20,5050703003179,,,N,FEBA
B 430A+,GRAFTERS,,Black,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,12,22.95,S,20,5050703003186,,,N,FEBA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703003193,,,N,APRB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,4,21.95,S,0,5050703003209,,,N,APRB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,5,21.95,S,20,5050703003216,,,N,SEPB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,6,21.95,S,20,5050703003223,,,N,DECB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,7,22.95,S,0,5050703003230,,,N,DECB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703003247,,,N,DECB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703003254,,,N,DECB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,10,22.95,S,0,5050703003261,,,N,FEBA
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,11,22.95,S,14,5050703003278,,,N,DECB
B 430BD,GRAFTERS,,Wine,Leather,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,12,22.95,S,3,5050703003285,,,N,DECB
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703619738,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,4,21.95,S,1,5050703619745,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,5,21.95,S,9,5050703619752,,,N,
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,6,21.95,S,3,5050703619769,,,N,JULB
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,7,22.95,S,0,5050703619776,,,N,FEBA
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,8,22.95,S,6,5050703619783,,,N,FEBA
B 430CS,GRAFTERS,,Navy,Real Suede,Heritage Unisex Monkey Boot,PVC Tread Sole,64039116,IN,0.92,,,UK,9,22.95,S,20,5050703619790,,,N,FEBA
