StyleNo,Brand,Name,Color,Upper,Desc,Sole,HSSCode,Origin,NettKG,SafetyISO,Properties,Sizing,Size,Price,VAT,Stock,EAN13,Alias,Clearance,NextDue
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,3,21.95,S,0,5050703608589,,,N,
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,4,21.95,S,0,5050703608596,,,N,
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,5,21.95,S,0,5050703608602,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,6,21.95,S,0,5050703608619,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,7,22.95,S,0,5050703608626,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,8,22.95,S,0,5050703608633,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,9,22.95,S,2,5050703608640,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,10,22.95,S,0,5050703608657,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,11,22.95,S,0,5050703608664,,,N,JANA
B 430GB,GRAFTERS,,Brown,Tumbled Leather,Heritage Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,12,22.95,S,2,5050703608671,,,N,JANA
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,6,22.95,S,20,5050703661836,,,N,
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,7,22.95,S,20,5050703661843,,,N,
B 430M,GRAFTERS,,Bordeaux,Brush Off Leather,Retro Unisex Monkey Boot,Thermo Rubber Sole,64039116,IN,0.92,,,UK,8,22.95,S,20,5050703661850,,,N,
